"Name", "Stmts", "Miss", "Cover"
"picosign/__init__.py", "9", "0", "100%"
"picosign/core/__init__.py", "9", "0", "100%"
"picosign/core/model/__init__.py", "9", "0", "100%"
"picosign/core/model/signature_data.py", "15", "0", "100%"
"picosign/core/service/__init__.py", "9", "0", "100%"
"picosign/core/service/engine.py", "29", "0", "100%"
"picosign/core/service/iservice.py", "14", "0", "100%"
"picosign/core/service/isubprocessor.py", "14", "0", "100%"
"picosign/engine.py", "57", "0", "100%"
"picosign/infrastructure/__init__.py", "9", "0", "100%"
"picosign/infrastructure/cli/__init__.py", "9", "0", "100%"
"picosign/infrastructure/cli/engine.py", "43", "0", "100%"
"picosign/infrastructure/cli/icli.py", "15", "0", "100%"
"picosign/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"picosign/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"picosign/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"picosign/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"picosign/infrastructure/cli/setup/factory.py", "40", "0", "100%"
"picosign/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"picosign/infrastructure/cli/setup/opt_validator.py", "34", "0", "100%"
"picosign/infrastructure/cli/setup/options.py", "15", "0", "100%"
"picosign/infrastructure/cli/setup/registry.py", "31", "0", "100%"
"picosign/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"picosign/infrastructure/command/__init__.py", "9", "0", "100%"
"picosign/infrastructure/command/command.py", "16", "0", "100%"
"picosign/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"picosign/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"picosign/infrastructure/command/read_command_definition.py", "26", "0", "100%"
"picosign/infrastructure/command/read_command_executor.py", "29", "0", "100%"
"picosign/infrastructure/command/sign_command_definition.py", "26", "0", "100%"
"picosign/infrastructure/command/sign_command_executor.py", "29", "0", "100%"
"picosign/infrastructure/subprocessor.py", "101", "0", "100%"
"picosign/setup/__init__.py", "9", "0", "100%"
"picosign/setup/bundle.py", "23", "0", "100%"
"picosign/setup/dep_validator.py", "36", "0", "100%"
"picosign/setup/dependencies.py", "19", "0", "100%"
"picosign/setup/factory.py", "43", "0", "100%"
"picosign/setup/keys.py", "27", "0", "100%"
"picosign/setup/opt_validator.py", "34", "0", "100%"
"picosign/setup/options.py", "12", "0", "100%"
"picosign/setup/registry.py", "32", "0", "100%"
"picosign/setup/validator.py", "48", "0", "100%"
"Total", "1062", "0", "100%"
